country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Afghanistan,-1.332548955884898,-1.5022960350095076,-2.4505608699539962,-1.6198177593904477,-1.1458281975224154,0.9331002795626672,0.31484635694272123,-1.1179991591417406,0.40307255170980966,-0.2951575460146636,-1.808980039866613,-1.3931555887810978,-0.7021335121276527,0.49753901492264824
Albania,-0.35746419369896004,-0.026780429315609134,-0.6603599393747126,0.7383774489251955,-0.769630111887753,-0.6950354032299353,0.5650512656811446,-0.6561902481266979,0.4801856488322639,-0.2538744488977734,0.1605293735501024,-0.26877764296189266,0.5490604153353937,0.5243638943013288
Algeria,0.17572536752850532,0.25196917086426557,-0.048150317847881416,0.26330037459379224,-0.6392101020903291,-0.8266281039291232,-0.3548912996244476,-0.7300559392143288,-0.020226710506756663,-3.350343478888483e-16,-1.013928903366388,-0.7000526441696381,-0.5183343235244711,-0.5453029923025297
Angola,-0.8988629701973758,-0.33183144426747624,-0.6159988553292811,-2.1281890123367386,-1.8508670684847,-0.5479840592236107,0.6156685139409327,-0.9023204296755656,1.1031602499342104,-0.4069750674212199,-0.7621727126080037,-1.3783716741803191,0.6483306756569934,1.1505412320204336
Argentina,0.9012108084690957,0.212170424427467,0.7988034174013695,0.5795810870093056,0.15292444281954418,-0.4660524626347526,0.4900992986051429,1.2524809954110463,0.13604544570329288,-0.33546478902912286,0.3197395683971464,-0.5101297111882747,0.199993974897958,-0.5524878955984742
Armenia,-0.9208120089837517,-0.2883940916121104,-0.8846414490518711,0.35692637571562735,-1.4665116028575371,-1.26220904617887,0.7104727145084571,-1.6237241887671006,2.0885558937310225,-0.9519065221201718,-0.2329157656051403,-0.194473794629947,0.2329147106682731,0.7821580038931496
Australia,1.681101582486909,1.233514285477128,1.1624286068734215,1.2251458093272842,1.3926146484289388,1.706974773167681,-1.9233017489258473,0.9649704936544536,-0.5258611847724398,0.2826206338861216,1.3935112698987164,1.6832269153394186,-0.7262284885826341,-1.2982040241980304
Austria,1.6040091722529448,1.2670389123291386,1.0077621105188395,1.1002602508158827,1.2718956442234375,0.9814995342892102,-0.8300162852549494,0.8454315608631199,-1.1374230726633214,-0.29971681579808856,1.4925073976920358,1.514068395972303,-0.5783289245921882,-1.2073614148665164
Azerbaijan,-0.48903039017916367,0.35875377715947215,-0.4504081199819818,-0.045527879191211845,-0.6597386010984951,-1.1536274362135563,-0.1039828628390176,-1.3745812372475212,-0.20603804464583567,1.7083078918402983,-0.8003575958467948,-0.6815220215061534,-0.7398773571678245,-0.2504119670622701
Bahrain,0.3445474175505242,1.2299798813367118,0.5488241359054956,0.43862039701241673,0.6825806205062421,-0.04692035942628449,-0.6998634874164411,-0.13686697323727665,1.2285750727396105,-3.350343478888483e-16,-0.8335989225075615,0.43184777193564877,0.15485236812595587,-0.2618480438707389
Bangladesh,-0.6158567350001988,-1.1504906078670254,-2.025597323479871,-0.19352242577223408,-0.11161642439921247,-0.17255121644547303,0.04696507991139045,-0.5335723769807202,-0.13909574357434626,1.6600634349320733,-0.8115630187026643,-0.82969443786536,-0.25334367182607126,0.15016947903214806
Belarus,0.1356489998523936,0.3751090033588771,0.8017745696374615,0.19269649517574258,-0.38664566718106586,-1.1629455435196594,-0.41951248389267587,-1.1520797000845182,-0.5189447823261892,0.3364799478491393,-0.6137990010264969,-0.9209287722973741,-0.29812477105607554,-0.41025194920792135
Belgium,1.428535794941868,1.208522084552515,0.9509911221525531,1.1266843311000878,1.0383628746719884,-0.017544641322519185,-0.7571565112103984,0.9087892749698454,-0.25633425899708795,-0.038576722665242515,1.2759604667915745,1.3295207811805074,-1.1137643013475305,-1.3903627844874102
Belize,0.6905247070851294,-0.1887085465752203,0.02911112553540135,-0.4114983453164468,0.4533793999265411,0.06820258756744518,0.10985523202455126,0.43938931590933616,0.07046218000627343,-0.8748656072083445,0.5895424058136829,-0.5180471048586298,0.719830793911,-0.16565853270113576
Benin,-1.661403158000833,-1.435262117652547,-2.7901763982915395,-1.461752214834055,0.09744539735327534,-0.2423134407013229,0.43112405513888574,-0.9436928025331751,0.4514396858700726,0.7977388456214216,0.38131420409036737,-0.4950065570373165,-0.602191616650215,0.9706639574888892
Bhutan,-0.20679972623093476,-0.25135903721596004,0.31834769401685037,-0.20664255407975066,0.6980121086071834,2.0003045980910064,-0.33235453518289054,0.9895905998191622,0.29194512950622786,2.9974553657692145,0.44280125963606015,0.11966282314552475,-2.0007014435094677,-1.2486844800274268
Bolivia,0.28254106307090726,-0.4815284026081727,-0.016857339349930636,-0.48866354919457855,0.5856524543942627,-0.20216613072435044,0.33560796889868116,0.6160552116159917,1.5656273456768126,-0.12197691891989491,-0.1702413768462051,-0.6902414609674122,-0.2027172335535251,-0.4432698639500476
Bosnia and Herzegovina,-0.3850099215254815,-0.0342114124641402,-0.4720910737113275,0.6419586212486259,-2.0965536991868383,0.13457245703290807,1.080330969635997,-1.3437668813130088,0.7879604837858675,-1.0565100684637452,-0.17498056655052735,-0.30386476780960464,0.6332596490516429,0.5300467565134546
Botswana,-1.1230127814332507,0.29708614049402904,0.2582445693409543,-0.9893734304097419,0.6701511987918353,-1.188270598465171,0.15625173952424246,0.03869396842582265,-0.531014747973938,1.8005301719639621,0.8910705461520158,0.5860250983654777,0.604635265009851,1.3858707217480837
